iter	Passed	Remaining
456	832	989
457	834	987
458	835	984
459	836	982
460	837	979
461	839	977
462	840	974
463	841	972
464	843	970
465	844	967
466	846	965
467	847	963
468	849	961
469	850	958
470	851	956
471	852	953
472	854	951
473	855	949
474	856	946
475	858	944
476	859	942
477	861	940
478	862	938
479	863	935
480	865	933
481	866	931
482	867	928
483	868	926
484	870	924
485	872	922
486	873	920
487	874	917
488	876	915
489	877	913
490	878	910
491	879	908
492	881	906
493	882	903
494	884	901
495	885	899
496	886	897
497	887	895
498	889	892
499	890	890
500	892	888
501	893	886
502	894	884
503	896	882
504	897	880
505	899	878
506	900	875
507	901	873
508	903	871
509	904	869
510	906	867
511	907	865
512	909	863
513	911	861
514	912	859
515	914	857
516	915	855
517	917	853
518	919	851
519	921	850
520	922	848
521	924	846
522	925	844
523	927	842
524	928	840
525	930	838
526	931	836
527	933	834
528	935	832
529	936	830
530	938	828
531	939	826
532	941	824
533	942	822
534	944	820
535	945	818
536	946	816
537	948	814
538	950	812
539	951	810
540	953	809
541	955	807
542	956	805
543	958	803
544	959	801
545	960	798
546	963	797
547	966	796
548	968	795
549	971	794
550	973	793
551	975	791
552	976	789
553	979	788
554	981	787
555	984	785
556	986	784
557	987	782
558	990	781
559	992	779
560	995	779
561	997	777
562	998	775
563	1000	773
564	1001	771
565	1003	769
566	1005	767
567	1009	767
568	1012	766
569	1014	765
570	1017	764
571	1024	766
572	1028	766
573	1031	765
574	1033	764
575	1035	762
576	1042	764
577	1044	762
578	1046	761
579	1049	759
580	1050	757
581	1055	757
582	1056	756
583	1058	754
584	1060	752
585	1062	750
586	1064	749
587	1066	747
588	1071	747
589	1072	745
590	1074	743
591	1075	741
592	1078	739
593	1079	737
594	1083	737
595	1086	736
596	1087	734
597	1089	732
598	1090	730
599	1092	728
600	1093	725
601	1094	723
602	1097	722
603	1100	721
604	1101	719
605	1103	717
606	1104	715
607	1105	712
608	1107	710
609	1108	708
610	1110	707
611	1114	706
612	1116	704
613	1117	702
614	1118	700
615	1120	698
616	1121	696
617	1123	694
618	1124	692
619	1127	690
620	1129	689
621	1130	687
622	1132	685
623	1133	683
624	1135	681
625	1136	679
626	1138	677
627	1140	675
628	1143	674
629	1145	672
630	1148	671
631	1149	669
632	1151	667
633	1155	667
634	1158	665
635	1160	664
636	1162	662
637	1164	660
638	1167	659
639	1168	657
640	1172	656
641	1173	654
642	1174	652
643	1176	650
644	1178	648
645	1180	647
646	1182	645
647	1184	643
648	1186	641
649	1188	640
650	1191	638
651	1195	637
652	1197	636
653	1199	634
654	1203	633
655	1205	632
656	1206	630
657	1208	628
658	1210	626
659	1212	624
660	1215	623
661	1218	622
662	1220	620
663	1222	618
664	1223	616
665	1225	614
666	1227	612
667	1228	610
668	1231	609
669	1233	607
670	1235	605
671	1236	603
672	1238	601
673	1239	599
674	1241	597
675	1242	595
676	1247	595
677	1249	593
678	1251	591
679	1252	589
680	1254	587
681	1256	585
682	1257	583
683	1259	581
684	1261	580
685	1263	578
686	1264	576
687	1266	574
688	1267	572
689	1268	569
690	1270	567
691	1271	566
692	1273	564
693	1275	562
694	1277	560
695	1279	558
696	1280	556
697	1281	554
698	1282	552
699	1284	550
700	1285	548
701	1287	546
702	1288	544
703	1291	542
704	1292	540
705	1294	538
706	1295	536
707	1296	534
708	1298	532
